"Name","GroupScope"
"Administrators","DomainLocal"
"Users","DomainLocal"
"Guests","DomainLocal"
"Print Operators","DomainLocal"
"Backup Operators","DomainLocal"
"Replicator","DomainLocal"
"Remote Desktop Users","DomainLocal"
"Network Configuration Operators","DomainLocal"
"Performance Monitor Users","DomainLocal"
"Performance Log Users","DomainLocal"
"Distributed COM Users","DomainLocal"
"IIS_IUSRS","DomainLocal"
"Cryptographic Operators","DomainLocal"
"Event Log Readers","DomainLocal"
"Certificate Service DCOM Access","DomainLocal"
"RDS Remote Access Servers","DomainLocal"
"RDS Endpoint Servers","DomainLocal"
"RDS Management Servers","DomainLocal"
"Hyper-V Administrators","DomainLocal"
"Access Control Assistance Operators","DomainLocal"
"Remote Management Users","DomainLocal"
"Storage Replica Administrators","DomainLocal"
"OpenSSH Users","DomainLocal"
"Domain Computers","Global"
"Domain Controllers","Global"
"Schema Admins","Universal"
"Enterprise Admins","Universal"
"Cert Publishers","DomainLocal"
"Domain Admins","Global"
"Domain Users","Global"
"Domain Guests","Global"
"Group Policy Creator Owners","Global"
"RAS and IAS Servers","DomainLocal"
"Server Operators","DomainLocal"
"Account Operators","DomainLocal"
"Pre-Windows 2000 Compatible Access","DomainLocal"
"Incoming Forest Trust Builders","DomainLocal"
"Windows Authorization Access Group","DomainLocal"
"Terminal Server License Servers","DomainLocal"
"Allowed RODC Password Replication Group","DomainLocal"
"Denied RODC Password Replication Group","DomainLocal"
"Read-only Domain Controllers","Global"
"Enterprise Read-only Domain Controllers","Universal"
"Cloneable Domain Controllers","Global"
"Protected Users","Global"
"Key Admins","Global"
"Enterprise Key Admins","Universal"
"Forest Trust Accounts","Global"
"External Trust Accounts","Global"
"DnsAdmins","DomainLocal"
"DnsUpdateProxy","Global"
"SG-HR-Users","Global"
"SG-Sales-Users","Global"
"SG-IT-Users","Global"
"SG-Finance-Users","Global"
"SG-Management-Users","Global"
"DHCP Users","DomainLocal"
"DHCP Administrators","DomainLocal"
