"Folder","Identity","Permission","AccessType"
"C:\Shares\HR","CREATOR OWNER","FullControl","Allow"
"C:\Shares\HR","NT AUTHORITY\SYSTEM","FullControl","Allow"
"C:\Shares\HR","BUILTIN\Administrators","FullControl","Allow"
"C:\Shares\HR","HOMELAB\SG-HR-Users","FullControl","Allow"
"C:\Shares\Finance","CREATOR OWNER","FullControl","Allow"
"C:\Shares\Finance","NT AUTHORITY\SYSTEM","FullControl","Allow"
"C:\Shares\Finance","BUILTIN\Administrators","FullControl","Allow"
"C:\Shares\Finance","HOMELAB\SG-Finance-Users","FullControl","Allow"
"C:\Shares\IT","CREATOR OWNER","FullControl","Allow"
"C:\Shares\IT","NT AUTHORITY\SYSTEM","FullControl","Allow"
"C:\Shares\IT","BUILTIN\Administrators","FullControl","Allow"
"C:\Shares\IT","HOMELAB\SG-IT-Users","FullControl","Allow"
"C:\Shares\Sales","CREATOR OWNER","FullControl","Allow"
"C:\Shares\Sales","NT AUTHORITY\SYSTEM","FullControl","Allow"
"C:\Shares\Sales","BUILTIN\Administrators","FullControl","Allow"
"C:\Shares\Sales","HOMELAB\SG-Sales-Users","FullControl","Allow"
