"(PDH-CSV 4.0) (Asia/Singapore)(-480)","\\srv01\memory\available mbytes",
"2026-6-25 1:38:55.797","914",
"2026-6-25 1:38:56.797","916",
"2026-6-25 1:38:57.807","914",
"2026-6-25 1:38:58.807","915",
"2026-6-25 1:38:59.806","915",
"2026-6-25 1:39:0.812","915",
"2026-6-25 1:39:1.811","916",
"2026-6-25 1:39:2.824","916",
"2026-6-25 1:39:3.838","917",
"2026-6-25 1:39:7.006","911",
"2026-6-25 1:39:7.857","908",
"2026-6-25 1:39:8.860","908",
"2026-6-25 1:39:9.863","908",
"2026-6-25 1:39:11.026","908",
"2026-6-25 1:39:12.039","911",
"2026-6-25 1:39:12.869","913",
"2026-6-25 1:39:13.871","910",
"2026-6-25 1:39:14.872","911",
"2026-6-25 1:39:15.872","913",
"2026-6-25 1:39:17.050","911",
"2026-6-25 1:39:17.881","911",
"2026-6-25 1:39:18.885","912",
"2026-6-25 1:39:19.888","911",
"2026-6-25 1:39:20.899","911",
"2026-6-25 1:39:22.906","915",
"2026-6-25 1:39:23.910","913",
"2026-6-25 1:39:24.911","912",
"2026-6-25 1:39:25.915","912",
"2026-6-25 1:39:26.914","913",
"2026-6-25 1:39:27.914","912",
"2026-6-25 1:39:29.171","912",
"2026-6-25 1:39:29.920","912",
"2026-6-25 1:39:30.918","913",
"2026-6-25 1:39:31.926","919",
"2026-6-25 1:39:32.935","918",
"2026-6-25 1:39:33.936","918",
"2026-6-25 1:39:34.939","921",
"2026-6-25 1:39:35.941","919",
"2026-6-25 1:39:36.953","918",
"2026-6-25 1:39:37.964","919",
"2026-6-25 1:39:38.965","919",
"2026-6-25 1:39:39.967","919",
"2026-6-25 1:39:40.972","943",
"2026-6-25 1:39:41.970","940",
"2026-6-25 1:39:42.974","943",
"2026-6-25 1:39:43.975","944",
"2026-6-25 1:39:44.985","942",
"2026-6-25 1:39:45.991","941",
"2026-6-25 1:39:46.990","942",
"2026-6-25 1:39:48.006","942",
"2026-6-25 1:39:49.006","943",
"2026-6-25 1:39:50.008","942",
"2026-6-25 1:39:51.013","943",
"2026-6-25 1:39:52.027","941",
"2026-6-25 1:39:53.026","941",
"2026-6-25 1:39:54.026","941",
"2026-6-25 1:39:55.028","941",
"2026-6-25 1:39:56.028","942",
"2026-6-25 1:39:57.033","942",
"2026-6-25 1:39:58.031","942",
"2026-6-25 1:39:59.032","942",
"2026-6-25 1:40:0.032","942",
"2026-6-25 1:40:1.036","942",
"2026-6-25 1:40:2.039","942",
"2026-6-25 1:40:3.052","942",
"2026-6-25 1:40:4.051","943",
"2026-6-25 1:40:5.055","943",
"2026-6-25 1:40:6.054","944",
"2026-6-25 1:40:7.062","938",
"2026-6-25 1:40:8.063","936",
"2026-6-25 1:40:9.070","937",
"2026-6-25 1:40:10.066","936",
"2026-6-25 1:40:11.067","937",
"2026-6-25 1:40:12.071","937",
"2026-6-25 1:40:13.071","937",
"2026-6-25 1:40:15.098","937",
"2026-6-25 1:40:16.097","938",
"2026-6-25 1:40:17.110","939",
"2026-6-25 1:40:18.108","939",
"2026-6-25 1:40:19.107","940",
"2026-6-25 1:40:21.118","940",
"2026-6-25 1:40:22.129","940",
"2026-6-25 1:40:23.127","941",
"2026-6-25 1:40:24.141","941",
"2026-6-25 1:40:25.139","941",
"2026-6-25 1:40:26.142","941",
"2026-6-25 1:40:27.142","941",
"2026-6-25 1:40:28.143","942",
"2026-6-25 1:40:29.146","942",
"2026-6-25 1:40:30.145","941",
"2026-6-25 1:40:31.147","953",
"2026-6-25 1:40:32.165","953",
"2026-6-25 1:40:33.166","952",
"2026-6-25 1:40:34.167","953",
