"(PDH-CSV 4.0) (Asia/Singapore)(-480)","\\srv01\physicaldisk(_total)\% disk time",
"2026-6-25 2:1:0.128","0.19925543665885925",
"2026-6-25 2:1:1.134","0.2315884381532669",
"2026-6-25 2:1:2.134","0.19749070703983307",
"2026-6-25 2:1:3.302","0.18690378963947296",
"2026-6-25 2:1:4.139","1.6742125749588013",
"2026-6-25 2:1:5.146","0.4400043189525604",
"2026-6-25 2:1:6.149","0.06400782614946365",
"2026-6-25 2:1:7.151","0.07471338659524918",
"2026-6-25 2:1:8.169","0.05410999432206154",
"2026-6-25 2:1:9.169","",
"2026-6-25 2:1:10.176","0.08560503274202347",
"2026-6-25 2:1:11.173","0.12894093990325928",
"2026-6-25 2:1:12.176","0.8132685422897339",
"2026-6-25 2:1:13.180","",
"2026-6-25 2:1:14.184","",
"2026-6-25 2:1:15.189","0.12610864639282227",
"2026-6-25 2:1:16.193","0.06911256909370422",
"2026-6-25 2:1:17.203","0.2747001647949219",
"2026-6-25 2:1:18.462","0.030713427811861038",
"2026-6-25 2:1:19.217","0.04168583080172539",
"2026-6-25 2:1:20.222","0.04051551595330238",
"2026-6-25 2:1:21.222","0.024524858221411705",
"2026-6-25 2:1:22.239","0.04033131152391434",
"2026-6-25 2:1:23.239","1.4263461828231812",
"2026-6-25 2:1:24.243","",
"2026-6-25 2:1:25.248","",
"2026-6-25 2:1:26.262","0.09228716045618057",
"2026-6-25 2:1:27.555","0.02213897928595543",
"2026-6-25 2:1:28.263","",
"2026-6-25 2:1:29.276","0.5654732584953308",
"2026-6-25 2:1:30.275","0.044166937470436096",
"2026-6-25 2:1:31.283","0.329088032245636",
"2026-6-25 2:1:32.275","0.11192815005779266",
"2026-6-25 2:1:33.292","0.03493373095989227",
"2026-6-25 2:1:34.291","",
"2026-6-25 2:1:35.292","",
"2026-6-25 2:1:37.298","0.06687618792057037",
"2026-6-25 2:1:38.297","1.835715889930725",
"2026-6-25 2:1:39.314","0.09120527654886246",
"2026-6-25 2:1:40.322","0.17317472398281097",
"2026-6-25 2:1:41.328","0.05697892606258392",
"2026-6-25 2:1:43.330","0.2179921418428421",
"2026-6-25 2:1:44.331","0.02867056056857109",
"2026-6-25 2:1:45.334","0.467383474111557",
"2026-6-25 2:1:47.338","",
"2026-6-25 2:1:48.343","0.051218584179878235",
"2026-6-25 2:1:50.293","0.022469528019428253",
"2026-6-25 2:1:51.351","",
"2026-6-25 2:1:52.352","0.07039697468280792",
"2026-6-25 2:1:53.362","0.03346485272049904",
"2026-6-25 2:1:55.376","",
"2026-6-25 2:1:56.386","0.057874444872140884",
"2026-6-25 2:1:58.398","",
"2026-6-25 2:1:59.397","",
"2026-6-25 2:2:0.401","0.07714220881462097",
"2026-6-25 2:2:1.402","0.32932913303375244",
"2026-6-25 2:2:2.404","0.03846188634634018",
"2026-6-25 2:2:3.406","1.3365517854690552",
"2026-6-25 2:2:5.410","",
"2026-6-25 2:2:6.416","0.06400153785943985",
"2026-6-25 2:2:7.420","0.04786144196987152",
"2026-6-25 2:2:8.419","",
"2026-6-25 2:2:9.505","",
"2026-6-25 2:2:10.429","0.16172794997692108",
"2026-6-25 2:2:11.433","0.12096574157476425",
"2026-6-25 2:2:12.446","0.07976038008928299",
"2026-6-25 2:2:13.445","",
"2026-6-25 2:2:14.451","0.03884928300976753",
"2026-6-25 2:2:16.451","",
"2026-6-25 2:2:17.466","",
"2026-6-25 2:2:18.463","0.42630118131637573",
"2026-6-25 2:2:19.462","",
"2026-6-25 2:2:20.467","0.06722240149974823",
"2026-6-25 2:2:21.470","0.0659855306148529",
"2026-6-25 2:2:22.470","0.05019988492131233",
"2026-6-25 2:2:24.471","0.08200987428426743",
"2026-6-25 2:2:25.479","",
"2026-6-25 2:2:26.478","0.03723573312163353",
"2026-6-25 2:2:27.486","",
"2026-6-25 2:2:28.487","",
"2026-6-25 2:2:30.506","0.048002660274505615",
"2026-6-25 2:2:31.507","0.2608663737773895",
"2026-6-25 2:2:32.511","0.10042774677276611",
"2026-6-25 2:2:33.511","",
"2026-6-25 2:2:34.512","",
"2026-6-25 2:2:35.509","0.30270063877105713",
"2026-6-25 2:2:37.523","0.4748873710632324",
"2026-6-25 2:2:38.517","",
"2026-6-25 2:2:39.522","0.034486159682273865",
"2026-6-25 2:2:41.528","0.057262733578681946",
"2026-6-25 2:2:42.527","0.08155577629804611",
"2026-6-25 2:2:43.532","0.051020752638578415",
"2026-6-25 2:2:45.541","0.1036737710237503",
"2026-6-25 2:2:46.545","0.18065369129180908",
"2026-6-25 2:2:48.550","",
"2026-6-25 2:2:49.567","",
"2026-6-25 2:2:50.567","0.06817318499088287",
"2026-6-25 2:2:51.939","0.08195127546787262",
"2026-6-25 2:2:52.964","0.30931541323661804",
"2026-6-25 2:2:53.576","",
"2026-6-25 2:2:54.579","",
"2026-6-25 2:2:55.575","0.042284198105335236",
"2026-6-25 2:2:56.575","0.22752927243709564",
"2026-6-25 2:2:57.577","",
"2026-6-25 2:2:58.586","",
"2026-6-25 2:2:59.590","0.044650785624980927",
"2026-6-25 2:3:0.592","0.04426749795675278",
"2026-6-25 2:3:1.596","0.15361806750297546",
"2026-6-25 2:3:2.608","0.08179116249084473",
"2026-6-25 2:3:4.118","0.06071873754262924",
"2026-6-25 2:3:4.609","",
"2026-6-25 2:3:5.618","",
"2026-6-25 2:3:6.622","0.12197616696357727",
"2026-6-25 2:3:8.175","1.1248682737350464",
"2026-6-25 2:3:8.622","",
"2026-6-25 2:3:9.637","1.6862605810165405",
"2026-6-25 2:3:10.641","0.13382355868816376",
"2026-6-25 2:3:12.194","0.07748839259147644",
"2026-6-25 2:3:12.647","",
"2026-6-25 2:3:13.649","0.02642897516489029",
