"Timestamp","Counter","Value"
"7/25/2026 9:27:22 PM","\\srv01\processor(_total)\% processor time","8.26"
"7/25/2026 9:27:22 PM","\\srv01\memory\available mbytes","1415"
"7/25/2026 9:27:22 PM","\\srv01\memory\% committed bytes in use","60.15"
"7/25/2026 9:27:22 PM","\\srv01\physicaldisk(_total)\% disk time","0.3"
"7/25/2026 9:27:22 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:24 PM","\\srv01\processor(_total)\% processor time","5.24"
"7/25/2026 9:27:24 PM","\\srv01\memory\available mbytes","1416"
"7/25/2026 9:27:24 PM","\\srv01\memory\% committed bytes in use","60.21"
"7/25/2026 9:27:24 PM","\\srv01\physicaldisk(_total)\% disk time","0.01"
"7/25/2026 9:27:24 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:26 PM","\\srv01\processor(_total)\% processor time","9.16"
"7/25/2026 9:27:26 PM","\\srv01\memory\available mbytes","1414"
"7/25/2026 9:27:26 PM","\\srv01\memory\% committed bytes in use","60.28"
"7/25/2026 9:27:26 PM","\\srv01\physicaldisk(_total)\% disk time","0.13"
"7/25/2026 9:27:26 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:28 PM","\\srv01\processor(_total)\% processor time","6.72"
"7/25/2026 9:27:28 PM","\\srv01\memory\available mbytes","1416"
"7/25/2026 9:27:28 PM","\\srv01\memory\% committed bytes in use","60.23"
"7/25/2026 9:27:28 PM","\\srv01\physicaldisk(_total)\% disk time","0.09"
"7/25/2026 9:27:28 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:30 PM","\\srv01\processor(_total)\% processor time","4.76"
"7/25/2026 9:27:30 PM","\\srv01\memory\available mbytes","1417"
"7/25/2026 9:27:30 PM","\\srv01\memory\% committed bytes in use","60.23"
"7/25/2026 9:27:30 PM","\\srv01\physicaldisk(_total)\% disk time","0.18"
"7/25/2026 9:27:30 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:32 PM","\\srv01\processor(_total)\% processor time","4.9"
"7/25/2026 9:27:32 PM","\\srv01\memory\available mbytes","1417"
"7/25/2026 9:27:32 PM","\\srv01\memory\% committed bytes in use","60.22"
"7/25/2026 9:27:32 PM","\\srv01\physicaldisk(_total)\% disk time","0.06"
"7/25/2026 9:27:32 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:34 PM","\\srv01\processor(_total)\% processor time","5.09"
"7/25/2026 9:27:34 PM","\\srv01\memory\available mbytes","1418"
"7/25/2026 9:27:34 PM","\\srv01\memory\% committed bytes in use","60.23"
"7/25/2026 9:27:34 PM","\\srv01\physicaldisk(_total)\% disk time","0.03"
"7/25/2026 9:27:34 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:36 PM","\\srv01\processor(_total)\% processor time","4.43"
"7/25/2026 9:27:36 PM","\\srv01\memory\available mbytes","1416"
"7/25/2026 9:27:36 PM","\\srv01\memory\% committed bytes in use","60.22"
"7/25/2026 9:27:36 PM","\\srv01\physicaldisk(_total)\% disk time","0.04"
"7/25/2026 9:27:36 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:38 PM","\\srv01\processor(_total)\% processor time","29.96"
"7/25/2026 9:27:38 PM","\\srv01\memory\available mbytes","1379"
"7/25/2026 9:27:38 PM","\\srv01\memory\% committed bytes in use","61.67"
"7/25/2026 9:27:38 PM","\\srv01\physicaldisk(_total)\% disk time","0.19"
"7/25/2026 9:27:38 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
"7/25/2026 9:27:40 PM","\\srv01\processor(_total)\% processor time","19.77"
"7/25/2026 9:27:40 PM","\\srv01\memory\available mbytes","1371"
"7/25/2026 9:27:40 PM","\\srv01\memory\% committed bytes in use","61.82"
"7/25/2026 9:27:40 PM","\\srv01\physicaldisk(_total)\% disk time","0.24"
"7/25/2026 9:27:40 PM","\\srv01\physicaldisk(_total)\current disk queue length","0"
